user_id;country;registered_user;call_count;answered_call;rejected_call;missed_call;out_of_work_call;user_feedback_count;owertime_call;total_duration (second);weekdays_call;weekend_call
5d306ad40568880299b2db6d;MX;FALSE;5;5;0;0;1;0;4;117;4;1
5d306ad40568880299b2db90;RU;FALSE;5;4;0;1;1;0;4;112;3;2
5d306ad40568880299b2dd14;AZ;FALSE;5;4;1;0;5;0;0;174;5;0
5d306ad40568880299b2dd30;AZ;FALSE;5;4;0;1;0;0;5;43;5;0
5d306ad40568880299b2dd49;AZ;FALSE;5;4;1;0;5;0;0;181;5;0
5d306ad40568880299b2dd6e;AZ;FALSE;5;0;0;5;5;0;0;0;5;0
5d306ad40568880299b2dd74;AZ;FALSE;5;0;0;5;5;0;0;0;5;0
5d306ad40568880299b2da71;RU;FALSE;4;2;1;1;4;0;0;8;4;0
5d306ad40568880299b2da84;RU;FALSE;4;0;3;1;4;0;0;0;4;0
5d306ad40568880299b2dac0;BR;FALSE;4;4;0;0;3;0;1;87;4;0
5d306ad40568880299b2dada;RU;FALSE;4;1;0;3;0;0;4;72;4;0
5d306ad40568880299b2dafd;RU;FALSE;4;4;0;0;1;0;3;178;4;0
5d306ad40568880299b2db07;RU;FALSE;4;2;0;2;3;0;1;78;4;0
5d306ad40568880299b2db0a;RU;FALSE;4;2;0;2;0;0;4;9;4;0
5d306ad40568880299b2db1b;RU;FALSE;4;4;0;0;4;0;0;23;4;0
5d306ad40568880299b2db24;KZ;FALSE;4;1;0;3;4;0;0;10;4;0
5d306ad40568880299b2db5d;MX;FALSE;4;4;0;0;0;0;4;122;1;3
5d306ad40568880299b2db84;RU;FALSE;4;4;0;0;2;0;2;815;4;0
5d306ad40568880299b2dccf;AZ;FALSE;4;1;0;3;4;0;0;16;4;0
5d306ad40568880299b2dcd6;AZ;FALSE;4;4;0;0;4;0;0;19;4;0
5d306ad40568880299b2dcda;AZ;FALSE;4;2;0;2;4;0;0;9;4;0
5d306ad40568880299b2dce7;AZ;FALSE;4;1;3;0;4;0;0;0;4;0
5d306ad40568880299b2dceb;AZ;FALSE;4;0;1;3;4;0;0;0;4;0
5d306ad40568880299b2dced;RU;TRUE;4;0;0;4;4;0;0;0;4;0
5d306ad40568880299b2dd24;AZ;FALSE;4;1;0;3;4;0;0;0;4;0
5d306ad40568880299b2dd28;AZ;FALSE;4;3;0;1;0;0;4;150;4;0
5d306ad40568880299b2dd2b;AZ;FALSE;4;4;0;0;3;0;1;70;4;0
5d306ad40568880299b2dd46;AZ;FALSE;4;4;0;0;3;0;1;133;4;0
5d306ad40568880299b2dd58;AZ;FALSE;4;1;0;3;0;0;4;3;4;0
5d306ad40568880299b2dd78;AZ;TRUE;4;0;2;2;4;0;0;0;4;0
5d306ad40568880299b2dd81;AZ;FALSE;4;0;0;4;4;0;0;0;4;0
5d306ad40568880299b2dd9f;AZ;FALSE;4;0;0;4;4;0;0;0;4;0
5d306ad40568880299b2da5a;RU;FALSE;3;0;0;3;0;0;3;0;3;0
5d306ad40568880299b2da5c;UA;FALSE;3;3;0;0;3;0;0;86;3;0
5d306ad40568880299b2da6d;RU;FALSE;3;2;0;1;3;0;0;15;3;0
5d306ad40568880299b2da83;RU;FALSE;3;2;0;1;3;0;0;811;3;0
